Bench,Row,Column,Position,Plant,Inoc,Trait,Measurement
Right,2,R-A,R-A2,R-A2,Sterile + N,Shoot_mass,103.34
Right,2,R-B,R-B2,R-B2,Sterile + N,Shoot_mass,60.78
Right,5,R-D,R-D5,R-D5,Sterile + N,Shoot_mass,54
Left,4,L-B,L-B4,L-B4,717A + N,Shoot_mass,88.39
Left,6,L-B,L-B6,L-B6,717A + N,Shoot_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Shoot_mass,80.86
Right,4,R-B,R-B4,R-B4,717A + N,Shoot_mass,23.52
Right,3,R-C,R-C3,R-C3,717A + N,Shoot_mass,69.84
Left,2,L-A,L-A2,L-A2,733B + N,Shoot_mass,85.76
Left,1,L-C,L-C1,L-C1,733B + N,Shoot_mass,95.39
Left,2,L-C,L-C2,L-C2,733B + N,Shoot_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Shoot_mass,50.29
Right,4,R-D,R-D4,R-D4,733B + N,Shoot_mass,64.05
Left,6,L-A,L-A6,L-A6,141,Shoot_mass,67.3
Left,3,L-D,L-D3,L-D3,141,Shoot_mass,58.65
Right,4,R-A,R-A4,R-A4,141,Shoot_mass,60.7
Right,2,R-C,R-C2,R-C2,141,Shoot_mass,66.15
Right,3,R-D,R-D3,R-D3,141,Shoot_mass,12.7
Left,1,L-A,L-A1,L-A1,141+717A,Shoot_mass,29.01
Left,3,L-A,L-A3,L-A3,141+717A,Shoot_mass,88.81
Left,5,L-A,L-A5,L-A5,141+717A,Shoot_mass,75.51
Right,1,R-B,R-B1,R-B1,141+717A,Shoot_mass,21.77
Right,4,R-C,R-C4,R-C4,141+717A,Shoot_mass,28.46
Left,2,L-D,L-D2,L-D2,141+733B,Shoot_mass,75.24
Left,4,L-D,L-D4,L-D4,141+733B,Shoot_mass,45.89
Right,1,R-A,R-A1,R-A1,141+733B,Shoot_mass,NA
Right,3,R-B,R-B3,R-B3,141+733B,Shoot_mass,67.57
Right,1,R-D,R-D1,R-D1,141+733B,Shoot_mass,19.14
Left,4,L-A,L-A4,L-A4,225,Shoot_mass,48.04
Left,1,L-B,L-B1,L-B1,225,Shoot_mass,64.89
Left,6,L-C,L-C6,L-C6,225,Shoot_mass,54.63
Left,1,L-D,L-D1,L-D1,225,Shoot_mass,64.02
Right,6,R-A,R-A6,R-A6,225,Shoot_mass,59.67
Left,3,L-B,L-B3,L-B3,225+717A,Shoot_mass,91.95
Left,3,L-C,L-C3,L-C3,225+717A,Shoot_mass,68.95
Left,4,L-C,L-C4,L-C4,225+717A,Shoot_mass,89.49
Right,6,R-B,R-B6,R-B6,225+717A,Shoot_mass,46.58
Right,5,R-C,R-C5,R-C5,225+717A,Shoot_mass,62.53
Left,2,L-B,L-B2,L-B2,225+733B,Shoot_mass,68.35
Right,3,R-A,R-A3,R-A3,225+733B,Shoot_mass,54.28
Right,5,R-A,R-A5,R-A5,225+733B,Shoot_mass,45.49
Right,5,R-B,R-B5,R-B5,225+733B,Shoot_mass,52.19
Right,1,R-C,R-C1,R-C1,225+733B,Shoot_mass,55.07
Left,5,L-B,L-B5,L-B5,Sterile + N,Shoot_mass_per_root_mass,0.402014424
Left,5,L-D,L-D5,L-D5,Sterile + N,Shoot_mass_per_root_mass,0.5112176
Right,2,R-A,R-A2,R-A2,Sterile + N,Shoot_mass_per_root_mass,1.236420196
Right,2,R-B,R-B2,R-B2,Sterile + N,Shoot_mass_per_root_mass,1.050829876
Right,5,R-D,R-D5,R-D5,Sterile + N,Shoot_mass_per_root_mass,1.029944688
Left,4,L-B,L-B4,L-B4,717A + N,Shoot_mass_per_root_mass,1.019139859
Left,6,L-B,L-B6,L-B6,717A + N,Shoot_mass_per_root_mass,NA
Left,5,L-C,L-C5,L-C5,717A + N,Shoot_mass_per_root_mass,1.394137931
Right,4,R-B,R-B4,R-B4,717A + N,Shoot_mass_per_root_mass,0.336625161
Right,3,R-C,R-C3,R-C3,717A + N,Shoot_mass_per_root_mass,1.247811327
Left,2,L-A,L-A2,L-A2,733B + N,Shoot_mass_per_root_mass,1.243258916
Left,1,L-C,L-C1,L-C1,733B + N,Shoot_mass_per_root_mass,1.353241595
Left,2,L-C,L-C2,L-C2,733B + N,Shoot_mass_per_root_mass,NA
Right,2,R-D,R-D2,R-D2,733B + N,Shoot_mass_per_root_mass,1.250683909
Right,4,R-D,R-D4,R-D4,733B + N,Shoot_mass_per_root_mass,1.514542445
Left,6,L-A,L-A6,L-A6,141,Shoot_mass_per_root_mass,1.000892326
Left,3,L-D,L-D3,L-D3,141,Shoot_mass_per_root_mass,0.570525292
Right,4,R-A,R-A4,R-A4,141,Shoot_mass_per_root_mass,0.933989845
Right,2,R-C,R-C2,R-C2,141,Shoot_mass_per_root_mass,1.05704698
Right,3,R-D,R-D3,R-D3,141,Shoot_mass_per_root_mass,2.23198594
Left,1,L-A,L-A1,L-A1,141+717A,Shoot_mass_per_root_mass,2.085549964
Left,3,L-A,L-A3,L-A3,141+717A,Shoot_mass_per_root_mass,1.203876915
Left,5,L-A,L-A5,L-A5,141+717A,Shoot_mass_per_root_mass,1.883512098
Right,1,R-B,R-B1,R-B1,141+717A,Shoot_mass_per_root_mass,1.49109589
Right,4,R-C,R-C4,R-C4,141+717A,Shoot_mass_per_root_mass,0.434039957
